,Package,Version
RcppAnnoy,RcppAnnoy,0.0.19
RcppArmadillo,RcppArmadillo,0.11.0.0.0
RcppEigen,RcppEigen,0.3.3.9.2
RcppParallel,RcppParallel,5.1.5
RcppProgress,RcppProgress,0.4.2
RcppTOML,RcppTOML,0.1.7
RCurl,RCurl,1.98-1.6
readr,readr,2.1.2
readxl,readxl,1.4.0
rematch,rematch,1.0.1
rematch2,rematch2,2.1.2
remotes,remotes,2.4.2
reprex,reprex,2.0.1
reshape,reshape,0.8.9
reshape2,reshape2,1.4.4
reticulate,reticulate,1.24
RFOC,RFOC,3.4-6
rgeos,rgeos,0.5-9
Rgraphviz,Rgraphviz,2.38.0
rhandsontable,rhandsontable,0.3.8
Rhdf5lib,Rhdf5lib,1.16.0
rJava,rJava,1.0-6
rjson,rjson,0.2.21
RJSONIO,RJSONIO,1.3-1.6
rlang,rlang,1.0.2
rmarkdown,rmarkdown,2.14
robustbase,robustbase,0.95-0
roxygen2,roxygen2,7.1.2
Rphenograph,Rphenograph,0.99.1
RPMG,RPMG,2.2-3
rprojroot,rprojroot,2.0.3
RProtoBufLib,RProtoBufLib,2.6.0
rrcov,rrcov,1.6-2
RSEIS,RSEIS,4.0-3
RSpectra,RSpectra,0.16-0
rstudioapi,rstudioapi,0.13
rsvd,rsvd,1.0.5
Rtsne,Rtsne,0.16
RUnit,RUnit,0.4.32
rversions,rversions,2.1.1
rvest,rvest,1.0.2
Rwave,Rwave,2.6-0
S4Vectors,S4Vectors,0.32.4
sass,sass,0.4.1
shinydashboardPlus,shinydashboardPlus,2.0.3
shinyDND,shinyDND,0.1.0
shinyFiles,shinyFiles,0.9.1
shinythemes,shinythemes,1.2.0
shinytoastr,shinytoastr,2.1.1
shinyWidgets,shinyWidgets,0.6.4
showimage,showimage,1.0.0
sitmo,sitmo,2.0.2
slam,slam,0.1-50
snow,snow,0.4-4
sourcetools,sourcetools,0.1.7
sp,sp,1.4-7
spam,spam,2.8-0
SparseM,SparseM,1.81
splancs,splancs,2.01-43
spsComps,spsComps,0.3.2.0
strex,strex,1.4.2
stringi,stringi,1.7.6
stringr,stringr,1.4.0
superheat,superheat,0.1.0
sys,sys,3.4
tensorflow,tensorflow,2.8.0
terra,terra,1.5-21
testthat,testthat,3.1.3
tfautograph,tfautograph,0.3.2
tfruns,tfruns,1.5.0
tibble,tibble,3.1.6
tidyr,tidyr,1.2.0
tidyselect,tidyselect,1.1.2
tidyverse,tidyverse,1.3.1
tinytex,tinytex,0.38
tm,tm,0.7-8
tmvnsim,tmvnsim,1.0-2
translations,translations,4.1.3
tsne,tsne,0.1-3.1
tzdb,tzdb,0.3.0
umap,umap,0.2.8.0
usethis,usethis,2.1.5
utf8,utf8,1.2.2
uuid,uuid,1.1-0
uwot,uwot,0.1.11
V8,V8,4.1.0
vctrs,vctrs,0.4.1
viridis,viridis,0.6.2
viridisLite,viridisLite,0.4.0
visNetwork,visNetwork,2.1.0
vroom,vroom,1.5.7
waiter,waiter,0.2.5
waldo,waldo,0.4.0
webdriver,webdriver,1.0.6
whisker,whisker,0.4
withr,withr,2.5.0
xfun,xfun,0.3
xgboost,xgboost,1.6.0.1
xlsx,xlsx,0.6.5
xlsxjars,xlsxjars,0.6.1
XML,XML,3.99-0.9
xml2,xml2,1.3.3
xopen,xopen,1.0.0
xtable,xtable,1.8-4
yaml,yaml,2.3.5
zeallot,zeallot,0.1.0
zip,zip,2.2.0
zlibbioc,zlibbioc,1.40.0
zoo,zoo,1.8-10
