Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
V-BV421-A,CD103,FL1-A
V-V500-A,CMHCII,FL2-A
V-BV610-A,CD11b,FL3-A
V-BV650-A,CD86,FL4-A
V-BV711-A,CD64,FL5-A
V-BV785-A,CD11c,FL6-A
BV-Amcyan-A,Live/Dead,FL7-A
B-FITC-A,CD172a,FL8-A
G-PE-A,CD192,FL9-A
G PE-TR-A,CD117,FL11-A
G-PE-Cy5-A,CD5,FL12-A
G-PE-Cy5-5-A,CD8a,FL13-A
G-PE-Cy7-A,CD317,FL14-A
R-APC-A,Xcr1,FL15-A
R-Alexa700-A,CD24,FL16-A
R APC-Cy7-A,Ly6C,FL17-A
