Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
V-BV650-A,CD44,FL1-A
V-BV785-A,CD8a,FL2-A
BV-Amcyan-A,Live/Dead,FL3-A
G-PE-Cy5-A,CD161,FL4-A
G-PE-Cy5-5-A,CD3e,FL5-A
R-Alexa700-A,CD62L,FL6-A
R APC-Cy7-A,CD4,FL7-A
V-V500-A,CD27,FL8-A
V-BV711-A,CD11b,FL9-A
