Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
V-BV421-A,CD5/LY6G,FL1-A
V-V500-A,MHCII,FL2-A
V-BV570-A,,FL3-A
V-BV610-A,CD4,FL4-A
V-BV650-A,,FL5-A
V-BV711-A,CD11b,FL6-A
V-BV785-A,CD11c,FL7-A
BV-Amcyan-A,Live/Dead,FL8-A
B-FITC-A,CD317,FL9-A
B-Sytox Green-A,,FL10-A
G-PE-A,CD192,FL11-A
G PE-TR-A,SigF,FL12-A
G-PE-Cy5-A,CD117,FL13-A
G-PE-Cy5-5-A,CD8a,FL14-A
G-PE-Cy7-A,F4/80,FL15-A
R-APC-A,CD64,FL16-A
R-Alexa700-A,,FL17-A
R APC-Cy7-A,Ly6C,FL18-A
