Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
BV421-A,CD5,FL1-A
PE-Cy5-A,CD19,FL2-A
BV570-A,Ly6C,FL3-A
BB700-A,CD4,FL4-A
BV650-A,CD161,FL5-A
BV711-A,CD11b,FL6-A
BV785-A,CD11c,FL7-A
SYTOX Blue-A,Live/Dead,BV-Amcyan-A
BV510-A,CD44,FL9-A
PE-Cy7-A,F4,FL10-A
PE-AF700-A,CD8a,FL11-A
G-PE-Cy5-A,TCRd,FL12-A
G-PE-Cy5-5-A,CD3e,FL13-A
FITC-A,CD317,FL14-A
PE-A,IgD,FL15-A
BV605-A,MHCII,FL16-A
PE-CF594-A,CD62l,FL17-A
V450-A,Ly6G,FL18-A
