Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
V-BV421-A,IgM,FL1-A
V-V500-A,CMHCII,FL2-A
V-BV570-A,,FL3-A
V-BV610-A,CD45,FL4-A
V-BV650-A,,FL5-A
V-BV711-A,,FL6-A
V-BV785-A,CD19,FL7-A
BV-Amcyan-A,Live/Dead,FL8-A
B-FITC-A,CD43,FL9-A
B-Sytox Green-A,,FL10-A
G-PE-A,CD93,FL11-A
G PE-TR-A,CD95,FL12-A
G-PE-Cy5-A,CD5,FL13-A
G-PE-Cy5-5-A,CD23,FL14-A
G-PE-Cy7-A,CD71,FL15-A
R-APC-A,CD21/35,FL16-A
R-Alexa700-A,CD38,FL17-A
R APC-Cy7-A,IgD,FL18-A
