Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
FL1-A,CD5,FL1-A
FL2-A,,FL2-A
FL3-A,,FL3-A
FL4-A,CD4,FL4-A
FL5-A,,FL5-A
FL6-A,,FL6-A
FL7-A,CD8a,FL7-A
FL8-A,Live/Dead,FL8-A
FL9-A,CD44,FL9-A
FL10-A,,FL10-A
FL11-A,CD27,FL11-A
FL12-A,,FL12-A
FL13-A,TCRd,FL13-A
FL14-A,CD3e,FL14-A
FL15-A,CD25,FL15-A
FL16-A,CD335,FL16-A
FL17-A,CD24,FL17-A
FL18-A,CD62l,FL18-A
