Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
V-BV650-A,CD44,FL1-A
V-BV711-A,CD357,FL2-A
V-BV785-A,CD8a,FL3-A
BV-Amcyan-A,Live/Dead,FL4-A
G-PE-Cy5-A,CD161,FL6-A
G-PE-Cy5-5-A,CD3e,FL7-A
G PE-TR-A,CD25,FL5-A
R-Alexa700-A,CD62l,FL8-A
R APC-Cy7-A,CD4,FL9-A
