Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
FL1-A,CD5,FL1-A
FL2-A,CD8a,FL2-A
FL3-A,CD19,FL3-A
FL4-A,CD11b,FL4-A
FL5-A,CD44,FL5-A
FL6-A,CD45,FL6-A
FL7-A,CD4,FL7-A
FL8-A,CD161,FL8-A
FL9-A,Ly6G,FL9-A
FL10-A,Ly6C,FL10-A
