Parameter,Label,Name
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
APC-A,CD155,APC-A
BV421-A,CD273,BV421-A
BV510-A,IA-IE,BV510-A
BV605-A,CD73,BV605-A
BV711-A,CD274,BV711-A
BV786-A,CD326,BV786-A
FITC-A,H-2Kd,FITC-A
PE-A,Rae1g,PE-A
PE-CF594-A,KLRG1,PE-CF594-A
PE-Cy5-A,CD80,PE-Cy5-A
PE-Cy7-A,CD252,PE-Cy7-A
