Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
V-BV421-A,KLRG1,FL1-A
V-V500-A,CD27,FL2-A
V-BV570-A,Ly6C,FL3-A
V-BV610-A,,FL4-A
V-BV650-A,CD11b,FL5-A
V-BV711-A,CD314,FL6-A
V-BV785-A,NKG2A/C/E,FL7-A
BV-Amcyan-A,Live/Dead,FL8-A
B-FITC-A,CD226,FL9-A
G-PE-A,Ly59A,FL10-A
G PE-TR-A,CD122,FL11-A
G-PE-Cy5-A,CD5,FL12-A
G-PE-Cy5-5-A,,FL13-A
G-PE-Cy7-A,Ly49G2,FL14-A
R-APC-A,CD335,FL15-A
R-Alexa700-A,CD152,FL16-A
R APC-Cy7-A,Ly49A/C/F/I/H,FL17-A
