Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
V-BV421-A,CD5_Ly6G,FL1-A
V-V500-A,CD19,FL2-A
G PE-TR-A,Ly6C,FL3-A
V-BV610-A,CD4,FL4-A
V-BV650-A,CD161,FL5-A
V-BV711-A,CD11b,FL6-A
UV-BUV395-A,CD11c,FL7-A
UV-BUV496-A,Live/Dead,BV-Amcyan-A
B-FITC-A,CD44,FL9-A
G-PE-A,F4_80,FL10-A
UV-BUV737-A,CD8a,FL11-A
G-PE-Cy5-A,TCRd,FL12-A
B-PE-Cy5-5-A,CD3e,FL13-A
G-PE-Cy7-A,CD317,FL14-A
R-APC-A,IgD,FL15-A
R-Alexa700-A,MHCII,FL16-A
R APC-Cy7-A,CD62L,FL17-A
