Parameter,Label,Name
Time,,
FSC-A,,
FSC-H,,
FSC-W,,
SSC-A,,
SSC-H,,
SSC-W,,
V-BV421-A,CD122,FL1-A
V-V500-A,CD27,FL2-A
V-BV570-A,Ly6C,FL3-A
V-BV610-A,CD69,FL4-A
V-BV650-A,CD44,FL5-A
V-BV711-A,CD11b,FL6-A
V-BV785-A,CD8a,FL7-A
BV-Amcyan-A,Live/Dead,FL8-A
B-FITC-A,CD127,FL9-A
G-PE-A,CD336,FL11-A
G PE-TR-A,CD279,FL12-A
G-PE-Cy5-A,CD161,FL13-A
G-PE-Cy5-5-A,CD3e,FL14-A
G-PE-Cy7-A,KLRG1,FL15-A
R-APC-A,CD335,FL16-A
R-Alexa700-A,CD62l,FL17-A
R APC-Cy7-A,CD4,FL18-A
